Category,Year,Crude Oil - Qty. - TMT,Crude Oil - Value - Rs. Crore,Petroleum  Products - Qty. - TMT,Petroleum Products - Value - Rs. Crore,LNG - Qty. - TMT,LNG - Value - Rs. Crore,Total - Qty. - TMT,Total - Value - Rs. Crore
Gross Imports,2012-13,184795,784652,16354,68852,13294,41757,214443,895261
Gross Imports,2013-14,189238,864875,16697,75896,13435,53455,219370,994225
Gross Imports,2014-15,189435,687416,21301,74644,14043,58359,224779,820419
Gross Imports,2015-16,202850,416579,29456,65361,16142,45038,248448,526978
Gross Imports,2016-17,213932,470159,36287,71566,18754,41084,268973,582809
Gross Imports,2017-18,220433,566450,35461,88374,20709,52122,276602,706946
Gross Imports,2018-19(P),226498,783183,33348,113665,21691,71867,281537,968715
Exports,2012-13,NA,NA,63408,320090,NA,NA,63408,320090
Exports,2013-14,NA,NA,67864,368279,NA,NA,67864,368279
Exports,2014-15,NA,NA,63932,288580,NA,NA,63932,288580
Exports,2015-16,NA,NA,60539,176780,NA,NA,60539,176780
Exports,2016-17,NA,NA,65513,194893,NA,NA,65513,194893
Exports,2017-18,NA,NA,66833,225388,NA,NA,66833,225388
Exports,2018-19(P),NA,NA,61096,267697,NA,NA,61096,267697
Net Imports,2012-13,184795,784652,-47054,-251238,13294,41757,151036,575172
Net Imports,2013-14,189238,864875,-51167,-292383,13435,53455,151506,625946
Net Imports,2014-15,189435,687416,-42631,-213936,14043,58359,160847,531839
Net Imports,2015-16,202850,416579,-31083,-111419,16142,45038,187910,350198
Net Imports,2016-17,213932,470159,-29226,-123327,18754,41084,203460,387916
Net Imports,2017-18,220433,566450,-31372,-137014,20709,52122,209770,481558
Net Imports,2018-19(P),226498,783183,-27747,-154031,21691,71867,220441,701019
